student	exam	score
1	1	76
1	2	68
2	1	53
2	2	57
2	3	72
3	1	34
3	2	57
3	3	74
4	1	53
4	2	61
4	3	65
5	1	29
5	2	55
5	3	60
6	1	80
6	2	100
6	3	100
7	1	43
7	2	68
7	3	69
8	1	36
8	2	47
8	3	46
9	1	47
9	2	53
9	3	60
10	1	28
10	2	43
10	3	56
11	1	66
11	2	63
11	3	67
12	1	63
12	2	77
12	3	91
13	1	28
13	2	26
13	3	42
14	1	55
14	2	64
14	3	77
15	1	59
15	2	68
15	3	73
16	1	69
16	2	64
16	3	88
17	1	63
17	2	74
17	3	73
18	1	54
18	2	73
18	3	73
19	1	27
19	2	32
19	3	51
20	1	41
20	2	52
20	3	69
21	1	57
21	2	62
21	3	68
22	1	35
22	2	51
22	3	65
23	1	49
23	2	65
23	3	69
24	1	35
24	2	50
24	3	64
25	1	36
25	2	24
25	3	34
26	1	59
26	2	65
26	3	62
27	1	10
27	2	34
27	3	43
28	1	25
28	2	42
28	3	47
29	1	68
29	2	87
29	3	87
30	1	66
30	2	92
30	3	81
31	1	57
31	2	66
31	3	81
32	1	48
32	2	69
32	3	72
33	1	59
33	2	63
33	3	66
34	1	50
34	2	74
34	3	76
35	1	42
35	2	67
35	3	66
36	1	41
36	2	48
36	3	57
37	1	54
37	2	71
37	3	80
38	1	21
38	2	21
38	3	56
39	1	55
39	2	82
39	3	84
40	1	33
40	2	58
40	3	59
41	1	57
41	2	64
41	3	80
42	1	45
42	2	66
42	3	63
43	1	53
43	2	73
43	3	87
44	1	34
44	2	40
44	3	53
45	1	55
45	2	52
45	3	71
46	1	43
46	2	45
46	3	65
47	1	43
47	2	55
47	3	66
48	1	18
48	2	41
48	3	54
49	1	40
49	2	28
49	3	54
50	1	50
50	2	51
50	3	63
