block	geno	fert	y
1	1	0	148.7
1	1	50	150.4
1	1	100	166.7
1	1	150	156.5
1	2	0	162.5
1	2	50	168.6
1	2	100	180.2
1	2	150	181.1
1	3	0	144.5
1	3	50	177.3
1	3	100	188.1
1	3	150	199.1
2	1	0	114.2
2	1	50	131.5
2	1	100	150.8
2	1	150	139.8
2	2	0	141.6
2	2	50	150.9
2	2	100	171.8
2	2	150	187.4
2	3	0	107.9
2	3	50	138
2	3	100	161.8
2	3	150	163.5
3	1	0	126.5
3	1	50	138.8
3	1	100	134.5
3	1	150	140.6
3	2	0	129.8
3	2	50	155.8
3	2	100	168
3	2	150	164.8
3	3	0	100.5
3	3	50	139.3
3	3	100	150.7
3	3	150	158.8
4	1	0	114.7
4	1	50	138.4
4	1	100	141.8
4	1	150	143.3
4	2	0	160.2
4	2	50	162.5
4	2	100	178.8
4	2	150	171.3
4	3	0	102.1
4	3	50	126.9
4	3	100	142.2
4	3	150	152.9
