ResearchStation	Dose	LeafArea
1	0	8.7
1	0	11.4
1	0	7
1	0	6.6
1	25	9.3
1	25	9.6
1	25	11.4
1	25	8.9
1	50	9.8
1	50	13.1
1	50	13.4
1	50	9.5
1	75	12.3
1	75	13.3
1	75	16.2
1	75	13.7
1	100	17.6
1	100	10
1	100	12.4
1	100	13.3
2	0	8.7
2	0	12.8
2	0	12.7
2	0	11.1
2	25	12.1
2	25	12
2	25	13.2
2	25	12.1
2	50	11.2
2	50	11.2
2	50	10.5
2	50	9.1
2	75	13.7
2	75	14.6
2	75	16.3
2	75	15.3
2	100	14.3
2	100	13.9
2	100	16.1
2	100	11.9
3	0	12
3	0	6
3	0	8.6
3	0	10
3	25	11.4
3	25	11.3
3	25	12.4
3	25	8.3
3	50	11.7
3	50	12.7
3	50	12.4
3	50	14.4
3	75	13
3	75	9.8
3	75	14.6
3	75	10.5
3	100	16.3
3	100	16.4
3	100	17.1
3	100	15.7
4	0	13.4
4	0	12.6
4	0	9.1
4	0	12.4
4	25	13.9
4	25	12.1
4	25	14.3
4	25	14.1
4	50	18.6
4	50	17.5
4	50	14.2
4	50	13.1
4	75	13.2
4	75	18.5
4	75	17.7
4	75	14
4	100	18.1
4	100	20.1
4	100	17.8
4	100	18.6
5	0	18.2
5	0	18.8
5	0	22
5	0	20.3
5	25	23.2
5	25	20.5
5	25	22.3
5	25	23
5	50	22.2
5	50	20.9
5	50	23.1
5	50	23.6
5	75	22.8
5	75	22.3
5	75	27.1
5	75	23
5	100	27.1
5	100	20.5
5	100	24.3
5	100	27.4
6	0	15.6
6	0	17.8
6	0	12.3
6	0	16.2
6	25	15.3
6	25	15.1
6	25	14.1
6	25	17.2
6	50	16.5
6	50	16.5
6	50	19.5
6	50	17.8
6	75	21.1
6	75	14.3
6	75	17.5
6	75	18.9
6	100	18.9
6	100	22.8
6	100	20.4
6	100	23.5
7	0	17.3
7	0	15.2
7	0	9.6
7	0	11.4
7	25	13
7	25	15.3
7	25	13.9
7	25	16.7
7	50	14.5
7	50	16.8
7	50	9.5
7	50	15.4
7	75	15.4
7	75	18.8
7	75	14
7	75	16.9
7	100	17.1
7	100	16.8
7	100	13.7
7	100	13.9
8	0	12.9
8	0	12.7
8	0	13.7
8	0	15.5
8	25	12.9
8	25	12.8
8	25	13.5
8	25	12.9
8	50	17.7
8	50	11.9
8	50	14.4
8	50	16.4
8	75	15.2
8	75	18.3
8	75	17.3
8	75	16.7
8	100	16
8	100	18
8	100	19.2
8	100	16.9
9	0	15.9
9	0	20.8
9	0	17.6
9	0	16.8
9	25	21.2
9	25	19.1
9	25	20.6
9	25	21.3
9	50	14.8
9	50	24.7
9	50	18.9
9	50	16.7
9	75	23.4
9	75	21.4
9	75	19.5
9	75	19.2
9	100	24.9
9	100	20.4
9	100	21
9	100	23.2
10	0	13.6
10	0	15.2
10	0	11.3
10	0	13
10	25	11.1
10	25	14.8
10	25	13.6
10	25	15.8
10	50	15.8
10	50	17.7
10	50	11.9
10	50	14.2
10	75	18.4
10	75	16.7
10	75	20.5
10	75	19
10	100	14.1
10	100	20.1
10	100	14.6
10	100	17
11	0	13.4
11	0	15.2
11	0	8.9
11	0	13.4
11	25	14.5
11	25	15.7
11	25	13.8
11	25	13.8
11	50	19.6
11	50	13.7
11	50	14.7
11	50	16.3
11	75	18.1
11	75	18.6
11	75	16.4
11	75	17.5
11	100	17
11	100	19.6
11	100	20.3
11	100	18.1
12	0	14.9
12	0	15.9
12	0	13.4
12	0	16.6
12	25	15.9
12	25	19.5
12	25	21.1
12	25	14.6
12	50	19.8
12	50	18.3
12	50	17.9
12	50	16.4
12	75	18.6
12	75	21.6
12	75	20.9
12	75	21.4
12	100	22.3
12	100	20.6
12	100	25.4
12	100	21
13	0	12.3
13	0	11.1
13	0	14.5
13	0	10.7
13	25	11.1
13	25	15.6
13	25	15.8
13	25	11.6
13	50	15.6
13	50	13.7
13	50	16.5
13	50	14.5
13	75	15.7
13	75	15.7
13	75	19.6
13	75	21.2
13	100	20.6
13	100	15.5
13	100	21.2
13	100	19.2
14	0	19.7
14	0	10.4
14	0	17
14	0	17.8
14	25	15.5
14	25	16.3
14	25	14.9
14	25	17
14	50	16.1
14	50	17.2
14	50	18.4
14	50	16.2
14	75	19.7
14	75	19
14	75	19
14	75	19.2
14	100	19.6
14	100	21
14	100	19.2
14	100	19.2
15	0	16.3
15	0	18.6
15	0	18.1
15	0	17.5
15	25	18.4
15	25	23.7
15	25	21.6
15	25	21.9
15	50	22.9
15	50	20.6
15	50	21.2
15	50	20.4
15	75	24.8
15	75	23.3
15	75	23.3
15	75	23.8
15	100	22.7
15	100	26.5
15	100	24.8
15	100	24.6
