Program	Subj	Time	Strength
3	1	2	85
3	1	4	85
3	1	6	86
3	1	8	85
3	1	10	87
3	1	12	86
3	1	14	87
3	2	2	80
3	2	4	79
3	2	6	79
3	2	8	78
3	2	10	78
3	2	12	79
3	2	14	78
3	3	2	78
3	3	4	77
3	3	6	77
3	3	8	77
3	3	10	76
3	3	12	76
3	3	14	77
3	4	2	84
3	4	4	84
3	4	6	85
3	4	8	84
3	4	10	83
3	4	12	84
3	4	14	85
3	5	2	80
3	5	4	81
3	5	6	80
3	5	8	80
3	5	10	79
3	5	12	79
3	5	14	80
3	6	2	76
3	6	4	78
3	6	6	77
3	6	8	78
3	6	10	78
3	6	12	77
3	6	14	74
3	7	2	79
3	7	4	79
3	7	6	80
3	7	8	79
3	7	10	80
3	7	12	79
3	7	14	81
3	8	2	76
3	8	4	76
3	8	6	76
3	8	8	75
3	8	10	75
3	8	12	74
3	8	14	74
3	9	2	77
3	9	4	78
3	9	6	78
3	9	8	80
3	9	10	80
3	9	12	81
3	9	14	80
3	10	2	79
3	10	4	79
3	10	6	79
3	10	8	79
3	10	10	77
3	10	12	78
3	10	14	79
3	11	2	81
3	11	4	81
3	11	6	80
3	11	8	80
3	11	10	80
3	11	12	81
3	11	14	82
3	12	2	77
3	12	4	76
3	12	6	77
3	12	8	78
3	12	10	77
3	12	12	77
3	12	14	77
3	13	2	82
3	13	4	83
3	13	6	83
3	13	8	83
3	13	10	84
3	13	12	83
3	13	14	83
3	14	2	84
3	14	4	84
3	14	6	83
3	14	8	82
3	14	10	81
3	14	12	79
3	14	14	78
3	15	2	79
3	15	4	81
3	15	6	81
3	15	8	82
3	15	10	82
3	15	12	82
3	15	14	80
3	16	2	79
3	16	4	79
3	16	6	78
3	16	8	77
3	16	10	77
3	16	12	78
3	16	14	78
3	17	2	83
3	17	4	82
3	17	6	83
3	17	8	85
3	17	10	84
3	17	12	83
3	17	14	82
3	18	2	78
3	18	4	78
3	18	6	79
3	18	8	79
3	18	10	78
3	18	12	77
3	18	14	77
3	19	2	80
3	19	4	80
3	19	6	79
3	19	8	79
3	19	10	80
3	19	12	80
3	19	14	80
3	20	2	78
3	20	4	79
3	20	6	80
3	20	8	81
3	20	10	80
3	20	12	79
3	20	14	80
1	21	2	79
1	21	4	79
1	21	6	79
1	21	8	80
1	21	10	80
1	21	12	78
1	21	14	80
1	22	2	83
1	22	4	83
1	22	6	85
1	22	8	85
1	22	10	86
1	22	12	87
1	22	14	87
1	23	2	81
1	23	4	83
1	23	6	82
1	23	8	82
1	23	10	83
1	23	12	83
1	23	14	82
1	24	2	81
1	24	4	81
1	24	6	81
1	24	8	82
1	24	10	82
1	24	12	83
1	24	14	81
1	25	2	80
1	25	4	81
1	25	6	82
1	25	8	82
1	25	10	82
1	25	12	84
1	25	14	86
1	26	2	76
1	26	4	76
1	26	6	76
1	26	8	76
1	26	10	76
1	26	12	76
1	26	14	75
1	27	2	81
1	27	4	84
1	27	6	83
1	27	8	83
1	27	10	85
1	27	12	85
1	27	14	85
1	28	2	77
1	28	4	78
1	28	6	79
1	28	8	79
1	28	10	81
1	28	12	82
1	28	14	81
1	29	2	84
1	29	4	85
1	29	6	87
1	29	8	89
1	29	10	88
1	29	12	85
1	29	14	86
1	30	2	74
1	30	4	75
1	30	6	78
1	30	8	78
1	30	10	79
1	30	12	78
1	30	14	78
1	31	2	76
1	31	4	77
1	31	6	77
1	31	8	77
1	31	10	77
1	31	12	76
1	31	14	76
1	32	2	84
1	32	4	84
1	32	6	86
1	32	8	85
1	32	10	86
1	32	12	86
1	32	14	86
1	33	2	79
1	33	4	80
1	33	6	79
1	33	8	80
1	33	10	80
1	33	12	82
1	33	14	82
1	34	2	78
1	34	4	78
1	34	6	77
1	34	8	76
1	34	10	75
1	34	12	75
1	34	14	76
1	35	2	78
1	35	4	80
1	35	6	77
1	35	8	77
1	35	10	75
1	35	12	75
1	35	14	75
1	36	2	84
1	36	4	85
1	36	6	85
1	36	8	85
1	36	10	85
1	36	12	83
1	36	14	82
2	37	2	84
2	37	4	85
2	37	6	84
2	37	8	83
2	37	10	83
2	37	12	83
2	37	14	84
2	38	2	74
2	38	4	75
2	38	6	75
2	38	8	76
2	38	10	75
2	38	12	76
2	38	14	76
2	39	2	83
2	39	4	84
2	39	6	82
2	39	8	81
2	39	10	83
2	39	12	83
2	39	14	82
2	40	2	86
2	40	4	87
2	40	6	87
2	40	8	87
2	40	10	87
2	40	12	87
2	40	14	86
2	41	2	82
2	41	4	83
2	41	6	84
2	41	8	85
2	41	10	84
2	41	12	85
2	41	14	86
2	42	2	79
2	42	4	80
2	42	6	79
2	42	8	79
2	42	10	80
2	42	12	79
2	42	14	80
2	43	2	79
2	43	4	79
2	43	6	79
2	43	8	81
2	43	10	81
2	43	12	83
2	43	14	83
2	44	2	87
2	44	4	89
2	44	6	91
2	44	8	90
2	44	10	91
2	44	12	92
2	44	14	92
2	45	2	81
2	45	4	81
2	45	6	81
2	45	8	82
2	45	10	82
2	45	12	83
2	45	14	83
2	46	2	82
2	46	4	82
2	46	6	82
2	46	8	84
2	46	10	86
2	46	12	85
2	46	14	87
2	47	2	79
2	47	4	79
2	47	6	80
2	47	8	81
2	47	10	81
2	47	12	81
2	47	14	81
2	48	2	79
2	48	4	80
2	48	6	81
2	48	8	82
2	48	10	83
2	48	12	82
2	48	14	82
2	49	2	83
2	49	4	84
2	49	6	84
2	49	8	84
2	49	10	84
2	49	12	83
2	49	14	83
2	50	2	81
2	50	4	81
2	50	6	82
2	50	8	84
2	50	10	83
2	50	12	82
2	50	14	85
2	51	2	78
2	51	4	78
2	51	6	79
2	51	8	79
2	51	10	78
2	51	12	79
2	51	14	79
2	52	2	83
2	52	4	82
2	52	6	82
2	52	8	84
2	52	10	84
2	52	12	83
2	52	14	84
2	53	2	80
2	53	4	79
2	53	6	79
2	53	8	81
2	53	10	80
2	53	12	80
2	53	14	80
2	54	2	80
2	54	4	82
2	54	6	82
2	54	8	82
2	54	10	81
2	54	12	81
2	54	14	81
2	55	2	85
2	55	4	86
2	55	6	87
2	55	8	86
2	55	10	86
2	55	12	86
2	55	14	86
2	56	2	77
2	56	4	78
2	56	6	80
2	56	8	81
2	56	10	82
2	56	12	82
2	56	14	82
2	57	2	80
2	57	4	81
2	57	6	80
2	57	8	81
2	57	10	81
2	57	12	82
2	57	14	83
