genotype	yield
1	203.3
1	190.9
1	190.6
2	189.3
2	179.2
3	173.6
3	197.7
3	203
4	192.6
4	206.9
4	196.3
5	194.3
5	213.7
5	180.5
5	186.8
5	203
5	186.7
6	184.4
6	207.3
6	198.2
6	194.4
6	204.1
7	202.9
7	202.2
7	185.5
7	197.8
7	179.4
8	202.3
8	190.9
9	206.3
9	215.8
9	181.3
9	205.9
10	201.8
10	190.4
11	195.8
11	183.7
11	173.9
11	175.1
12	176
12	197.1
12	175
12	198.7
12	183.8
13	187.2
13	171.5
13	193.2
14	171.7
14	168.7
15	209.8
15	177.4
15	189.2
15	183.3
16	186.4
16	191.7
16	179.3
16	189.6
16	190.1
17	188.6
17	196.6
18	188.7
18	180.9
18	198.2
19	186.3
19	198.2
19	180.8
19	182
19	181
20	200.2
20	190.8
20	202.3
21	197.4
21	204.3
21	199.2
21	201.5
21	197.8
21	195.8
22	195.5
22	190.2
23	183.1
24	194.4
24	207.2
25	191.8
25	196.7
25	198.6
25	175.1
26	188.1
26	188.3
26	171.6
27	188.5
27	189.5
27	189
27	204.3
28	196.8
28	179.3
28	185.5
29	193.8
29	189.8
29	203
30	190.3
30	197.8
31	192.1
31	175.5
31	168.4
32	209.3
32	198.2
33	193.4
33	176.6
33	186.4
34	194.5
34	178
34	195.3
34	190.5
35	192.2
35	199.8
36	194.5
36	189.8
36	176.9
37	189.5
37	187
38	180.2
38	200.5
39	185.1
39	185.7
40	196.1
40	186.8
41	186.2
42	187.2
43	184.7
43	180.9
43	198.7
43	190.6
43	193.7
44	170.8
44	188.7
44	186.5
44	172.3
45	183.6
45	177.3
45	206.3
46	186.6
46	187.5
46	197.4
47	194.4
47	181.9
47	180.7
48	206.2
49	192.2
50	202.3
50	186.4
51	187.7
51	197.7
51	207.6
52	184.5
53	197.1
53	206.9
53	172.8
53	190.4
53	199
54	187.5
54	176.9
55	189.5
55	202.4
55	184.4
56	195.2
56	199
56	172.5
57	173.6
57	177.8
57	189.7
57	203.7
57	175.4
57	191.9
58	194.7
58	191.4
59	185.7
59	204.8
59	204.5
60	198.2
60	195.3
60	183.8
61	176.5
61	204
61	187.1
62	190
62	182.6
62	181
62	172.4
63	193.6
63	186.7
63	196.4
64	195.2
64	200.5
64	169.2
64	192.3
65	198
65	198.1
65	192.1
66	192.5
66	210.5
67	184.4
67	203.7
68	194.5
68	202.6
68	186
69	175
69	190.6
69	177.8
70	205.1
70	190.1
70	208.7
71	190.9
71	190.8
71	174.6
71	185.5
72	187.7
72	184.3
72	179
73	200.2
73	181.7
73	188.8
73	207.8
74	206.4
74	190.5
74	191.3
74	196.1
75	199.4
75	197.6
75	193.4
75	177
75	216.8
76	173.6
76	185.7
77	189.9
77	190.8
77	197.5
77	180.1
77	199.3
78	190.2
78	204.9
78	193.1
79	198.4
79	193.2
79	182.1
79	186.7
80	190.8
80	174.8
80	193.3
80	187
81	183.4
81	199.9
81	199
82	185.6
82	187.6
82	195.1
83	184.5
84	187.4
84	197.7
84	189.4
85	172.4
85	170.6
85	189.2
86	175.5
86	204.8
86	198.8
87	194.7
88	211.3
88	191
88	201.6
88	180.7
89	193.5
89	197
89	201.8
90	193.1
90	190.5
90	187.9
91	180.3
91	199.5
92	177.6
92	201
92	203.2
93	181.8
93	173.3
94	195.2
94	172.5
95	178.7
95	196.2
95	193
96	180.9
96	175.6
97	202.7
97	202.1
97	198
97	198.4
98	198.6
98	197.1
98	173.9
98	185.5
99	207.7
99	178.1
100	188.5
100	188.6
100	196.3
100	193.9
